"source_mat_id","sea_surf_temp","sea_surf_temp_method","ph","ph_method","sediment_temp","sediment_temp_method","redox_potential","redox_potential_method","alkalinity","alkalinity_method","ammonium","ammonium_method","bac_prod","bac_prod_method","biomass","biomass_method","chem_administration","chlorophyll","chlorophyll_method","diss_carb_dioxide","diss_carb_dioxide_method","diss_inorg_carb","diss_inorg_carb_method","diss_org_carb","diss_org_carb_method","diss_org_nitro","diss_org_nitro_method","diss_oxygen","diss_oxygen_method","magnesium","magnesium_method","methane","methane_method","n_alkanes","n_alkanes_method","nitrate","nitrate_method","nitrite","nitrite_method","organism_count","organism_count_method","oxy_stat_samp","part_org_carb","part_org_carb_method","part_org_nitro","part_org_nitro_method","particle_class","petroleum_hydrocarb","petroleum_hydrocarb_method","phaeopigments","phaeopigments_method","phosphate","phosphate_method","pigments","pigments_method","porosity","pressure","pressure_method","sea_surf_salinity","sea_surf_salinity_method","silicate","silicate_method","sulfate","sulfate_method","sulfide","sulfide_method","water_current","water_current_method"
"EMOBON_OOB_So_210608_micro_1",18.75,"Seabird SBE 911plus CTD",7.962,"Consort multimeter C3016",18.66,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_210608_micro_2",18.75,"Seabird SBE 911plus CTD",7.962,"Consort multimeter C3016",18.66,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_210608_micro_3",18.75,"Seabird SBE 911plus CTD",7.962,"Consort multimeter C3016",18.66,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_210608_micro_4",18.75,"Seabird SBE 911plus CTD",7.962,"Consort multimeter C3016",18.66,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_210608_meio_1",18.75,"Seabird SBE 911plus CTD",7.962,"Consort multimeter C3016",18.66,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_210608_meio_2",18.75,"Seabird SBE 911plus CTD",7.962,"Consort multimeter C3016",18.66,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_210608_meio_3",18.75,"Seabird SBE 911plus CTD",7.962,"Consort multimeter C3016",18.66,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_210608_meio_4",18.75,"Seabird SBE 911plus CTD",7.962,"Consort multimeter C3016",18.66,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.85,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_210818_micro_1",21.81,"Seabird SBE 911plus CTD",8,"Consort multimeter C3016",21.68,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_210818_micro_2",21.81,"Seabird SBE 911plus CTD",8,"Consort multimeter C3016",21.68,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_210818_micro_3",21.81,"Seabird SBE 911plus CTD",8,"Consort multimeter C3016",21.68,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_210818_micro_4",21.81,"Seabird SBE 911plus CTD",8,"Consort multimeter C3016",21.68,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211012_micro_1",19.39,"Seabird SBE 911plus CTD",7.988,"Consort multimeter C3016",19.4,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211012_micro_2",19.39,"Seabird SBE 911plus CTD",7.988,"Consort multimeter C3016",19.4,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211012_micro_3",19.39,"Seabird SBE 911plus CTD",7.988,"Consort multimeter C3016",19.4,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211012_micro_4",19.39,"Seabird SBE 911plus CTD",7.988,"Consort multimeter C3016",19.4,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211012_meio_1",19.39,"Seabird SBE 911plus CTD",7.988,"Consort multimeter C3016",19.4,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211012_meio_2",19.39,"Seabird SBE 911plus CTD",7.988,"Consort multimeter C3016",19.4,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211012_meio_3",19.39,"Seabird SBE 911plus CTD",7.988,"Consort multimeter C3016",19.4,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211012_meio_4",19.39,"Seabird SBE 911plus CTD",7.988,"Consort multimeter C3016",19.4,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211015_macro_1",19.39,"Seabird SBE 911plus CTD",7.988,"Consort multimeter C3016",19.4,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211015_macro_2",19.39,"Seabird SBE 911plus CTD",7.988,"Consort multimeter C3016",19.4,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211015_macro_3",19.39,"Seabird SBE 911plus CTD",7.988,"Consort multimeter C3016",19.4,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211015_macro_4",19.39,"Seabird SBE 911plus CTD",7.988,"Consort multimeter C3016",19.4,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211209_micro_1",14.56,"Seabird SBE 911plus CTD",8.3,"Consort multimeter C3016",14.39,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211209_micro_2",14.56,"Seabird SBE 911plus CTD",8.3,"Consort multimeter C3016",14.39,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211209_micro_3",14.56,"Seabird SBE 911plus CTD",8.3,"Consort multimeter C3016",14.39,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66,"Seabird SBE 911plus CTD",,,,,,,,
"EMOBON_OOB_So_211209_micro_4",14.56,"Seabird SBE 911plus CTD",8.3,"Consort multimeter C3016",14.39,"Consort temperature compensator (ST10) PT1000","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66,"Seabird SBE 911plus CTD",,,,,,,,
