"source_mat_id_orig","samp_description","tax_id","scientific_name","investigation_type","env_material","collection_date","sampling_event","sampl_person","sampl_person_orcid","tidal_stage","comm_samp","depth","replicate","size_frac_low","size_frac_up","samp_collect_device","samp_mat_process","samp_mat_process_dev","samp_store_date","samp_store_loc","samp_store_temp","store_person","store_person_orcid","other_person","other_person_orcid","long_store","samp_size_mass","ship_date","arr_date_hq","store_temp_hq","ship_date_seq","arr_date_seq","failure","failure_comment","ENA_accession_number_sample","source_mat_id"
"EMO BON OOB So 210608 micro (1)","EMOBON metagenome sediment sample from station OOB collected on 2021-06-08 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-06-08,"OOB_So_210608","Bruno Hesse","NA","no_tide","micro",27,1,"NA","NA","PVC sediment corer","SoSOP 2","PVC cores of 7.5 cm in diameter",2021-06-08,"room 213, freezer LECOB",-80,"Pierre E. Galand","0000-0002-2238-3247","Lyvia Lescure","NA","N",10,2021-07-29,"NA","NA",2021-07-29,2021-08-04,"F","NA","NA","EMOBON_OOB_So_210608_micro_1"
"EMO BON OOB So 210608 micro (2)","EMOBON metagenome sediment sample from station OOB collected on 2021-06-08 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-06-08,"OOB_So_210608","Bruno Hesse","NA","no_tide","micro",27,2,"NA","NA","PVC sediment corer","SoSOP 2","PVC cores of 7.5 cm in diameter",2021-06-08,"room 213, freezer LECOB",-80,"Pierre E. Galand","0000-0002-2238-3247","Lyvia Lescure","NA","N",10,2021-07-29,"NA","NA",2021-07-29,2021-08-04,"T","tube broke during transport","NA","EMOBON_OOB_So_210608_micro_2"
"EMO BON OOB So 210608 micro (3)","EMOBON metagenome sediment sample from station OOB collected on 2021-06-08 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-06-08,"OOB_So_210608","Bruno Hesse","NA","no_tide","micro",27,3,"NA","NA","PVC sediment corer","SoSOP 2","PVC cores of 7.5 cm in diameter",2021-06-08,"room 213, freezer LECOB",-80,"Pierre E. Galand","0000-0002-2238-3247","Lyvia Lescure","NA","Y",10,"NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OOB_So_210608_micro_3"
"EMO BON OOB So 210608 micro (4)","EMOBON metagenome sediment sample from station OOB collected on 2021-06-08 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-06-08,"OOB_So_210608","Bruno Hesse","NA","no_tide","micro",27,4,"NA","NA","PVC sediment corer","SoSOP 2","PVC cores of 7.5 cm in diameter",2021-06-08,"room 213, freezer LECOB",-80,"Pierre E. Galand","0000-0002-2238-3247","Lyvia Lescure","NA","Y",10,"NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OOB_So_210608_micro_4"
"EMO BON OOB So 210608 meio (1)","EMOBON mimarks-specimen sediment sample from station OOB collected on 2021-06-08 community collected meio",33208,"Metazoa ","mimarks-specimen","sediment [ENVO:00002007]",2021-06-08,"OOB_So_210608","Bruno Hesse","NA","no_tide","meio",27,1,"NA","NA","PVC sediment corer","SoSOP 2","PVC cores of 7.5 cm in diameter",2021-06-08,"room 301, freezer LECOB",-20,"Jadwiga Orignac","0000-0002-2238-3247","Lyvia Lescure","NA","N","NA",2022-01-24,2022-01-25,-20,2022-07-18,2022-07-18,"NA","NA","NA","EMOBON_OOB_So_210608_meio_1"
"EMO BON OOB So 210608 meio (2)","EMOBON mimarks-specimen sediment sample from station OOB collected on 2021-06-08 community collected meio",33208,"Metazoa ","mimarks-specimen","sediment [ENVO:00002007]",2021-06-08,"OOB_So_210608","Bruno Hesse","NA","no_tide","meio",27,2,"NA","NA","PVC sediment corer","SoSOP 2","PVC cores of 7.5 cm in diameter",2021-06-08,"room 301, freezer LECOB",-20,"Jadwiga Orignac","0000-0002-2238-3247","Lyvia Lescure","NA","N","NA",2022-01-24,2022-01-25,-20,2022-07-18,2022-07-18,"NA","NA","NA","EMOBON_OOB_So_210608_meio_2"
"EMO BON OOB So 210608 meio (3)","EMOBON mimarks-specimen sediment sample from station OOB collected on 2021-06-08 community collected meio",33208,"Metazoa ","mimarks-specimen","sediment [ENVO:00002007]",2021-06-08,"OOB_So_210608","Bruno Hesse","NA","no_tide","meio",27,3,"NA","NA","PVC sediment corer","SoSOP 2","PVC cores of 7.5 cm in diameter",2021-06-08,"room 301, freezer LECOB",-20,"Jadwiga Orignac","0000-0002-2238-3247","Lyvia Lescure","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OOB_So_210608_meio_3"
"EMO BON OOB So 210608 meio (4)","EMOBON mimarks-specimen sediment sample from station OOB collected on 2021-06-08 community collected meio",33208,"Metazoa ","mimarks-specimen","sediment [ENVO:00002007]",2021-06-08,"OOB_So_210608","Bruno Hesse","NA","no_tide","meio",27,4,"NA","NA","PVC sediment corer","SoSOP 2","PVC cores of 7.5 cm in diameter",2021-06-08,"room 301, freezer LECOB",-20,"Jadwiga Orignac","0000-0002-2238-3247","Lyvia Lescure","NA","Y","NA","NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OOB_So_210608_meio_4"
"EMO BON OOB So 210818 micro (1)","EMOBON metagenome sediment sample from station OOB collected on 2021-08-18 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-08-18,"OOB_So_210818","Bruno Hesse","NA","no_tide","micro",27,1,"NA","NA","PVC sediment corer","SoSOP 2","PVC cores of 7.5 cm in diameter",2021-08-18,"room 213, freezer LECOB",-80,"Pierre E. Galand","0000-0002-2238-3247","Lyvia Lescure","NA","N",10,2021-10-21,2021-10-22,-70,2021-11-24,2021-11-24,"T","non-quantifiable DNA after extraction","NA","EMOBON_OOB_So_210818_micro_1"
"EMO BON OOB So 210818 micro (2)","EMOBON metagenome sediment sample from station OOB collected on 2021-08-18 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-08-18,"OOB_So_210818","Bruno Hesse","NA","no_tide","micro",27,2,"NA","NA","PVC sediment corer","SoSOP 2","PVC cores of 7.5 cm in diameter",2021-08-18,"room 213, freezer LECOB",-80,"Pierre E. Galand","0000-0002-2238-3247","Lyvia Lescure","NA","N",10,2021-10-21,2021-10-22,-70,2021-11-24,2021-11-24,"T","non-quantifiable DNA after extraction","NA","EMOBON_OOB_So_210818_micro_2"
"EMO BON OOB So 210818 micro (3)","EMOBON metagenome sediment sample from station OOB collected on 2021-08-18 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-08-18,"OOB_So_210818","Bruno Hesse","NA","no_tide","micro",27,3,"NA","NA","PVC sediment corer","SoSOP 2","PVC cores of 7.5 cm in diameter",2021-08-18,"room 213, freezer LECOB",-80,"Pierre E. Galand","0000-0002-2238-3247","Lyvia Lescure","NA","Y",10,"NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OOB_So_210818_micro_3"
"EMO BON OOB So 210818 micro (4)","EMOBON metagenome sediment sample from station OOB collected on 2021-08-18 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-08-18,"OOB_So_210818","Bruno Hesse","NA","no_tide","micro",27,4,"NA","NA","PVC sediment corer","SoSOP 2","PVC cores of 7.5 cm in diameter",2021-08-18,"room 213, freezer LECOB",-80,"Pierre E. Galand","0000-0002-2238-3247","Lyvia Lescure","NA","Y",10,"NA","NA","NA","NA","NA","NA","NA","NA","EMOBON_OOB_So_210818_micro_4"
"EMO BON OOB So 211012 micro (1)","EMOBON metagenome sediment sample from station OOB collected on 2021-10-12 community collected micro",412755,"marine sediment metagenome","metagenome","sediment [ENVO:00002007]",2021-10-12,"OOB_So_211012","Bruno Hesse","NA","no_tide","micro",27,1,"NA","NA","PVC sediment corer","SoSOP 2","PVC cores of 7.5 cm in diameter",2021-10-12,"room 213, freezer LECOB",-80,"Pierre E. Galand","0000-0002-2238-3247","Lyvia Lescure","NA","N",10,2022-01-24,2022-01-25,-70,2022-02-22,2022-02-23,"T","non-quantifiable DNA after extraction","NA","EMOBON_OOB_So_211012_micro_1"
